M_sigma	S	Q_alpha	motif_ratio_summary	motif_ratio
0.21	0.8	Inf	0	0.750312672998754
0.22	0	Inf	0	1
0.22	0.05	Inf	0	0.980676530843427
0.22	0.1	Inf	0	0.9668553494425408
0.22	0.2	Inf	0	0.9246352655865792
0.22	0.4	Inf	0	0.890026704604844
0.22	0.8	Inf	0	0.7199432565201426
0.23	0	Inf	0	1
0.23	0.05	Inf	0	0.9826266058138713
0.23	0.1	Inf	0	0.9610736088672156
0.23	0.2	Inf	0	0.9320150489526201
0.23	0.4	Inf	0	0.9010409839965903
0.23	0.8	Inf	0	0.7356808598764025
0.24	0	Inf	0	1
0.24	0.05	Inf	0	0.9838359719335524
0.24	0.1	Inf	0	0.9738390344886605
0.24	0.2	Inf	0	0.9114542965051982
0.24	0.4	Inf	0	0.8535378294310092
0.24	0.8	Inf	0	0.7077769242672972
0.25	0	Inf	0	1
0.25	0.05	Inf	0	0.9746056471685534
0.25	0.1	Inf	0	0.957749517098499
0.25	0.2	Inf	0	0.9637338109086948
0.25	0.4	Inf	0	0.8833540508743104
0.25	0.8	Inf	0	0.6765913788601217
0.26	0	Inf	0	1
0.26	0.05	Inf	0	0.9847679773331751
0.26	0.1	Inf	0	0.9536665107307296
0.26	0.2	Inf	0	0.940844861440084
0.26	0.4	Inf	0	0.8058130651248335
0.26	0.8	Inf	0	0.6428206370358396
0.27	0	Inf	0	1
0.27	0.05	Inf	0	0.974562345129568
0.27	0.1	Inf	0	0.9586030068046715
0.27	0.2	Inf	0	0.9040107712949277
0.27	0.4	Inf	0	0.8481405187823278
0.27	0.8	Inf	0	0.7415689108264528
0.28	0	Inf	0	1
0.28	0.05	Inf	0	0.9827325519278455
0.28	0.1	Inf	0	0.951265893252072
0.28	0.2	Inf	0	0.9072509484018598
0.28	0.4	Inf	0	0.8826069699665502
0.28	0.8	Inf	0	0.8137400807491068
0.29	0	Inf	0	1
0.29	0.05	Inf	0	0.9817508725529104
0.29	0.1	Inf	0	0.9575812328121829
0.29	0.2	Inf	0	0.8976678150625321
0.29	0.4	Inf	0	0.803728896935563
0.29	0.8	Inf	0	0.714041554101071
