M_sigma	S	Q_alpha	motif_exon_summary	motif_exon
0.2	0.1	Inf	0	0.028942051715984685
0.2	0.2	Inf	0	0.036836237127530945
0.2	0.4	Inf	0	0.04016013201346893
0.2	0.8	Inf	0	0.04740300715612664
0.21	0	Inf	0	0.03486218431521203
0.21	0.05	Inf	0	0.03579705605588226
0.21	0.1	Inf	0	0.036912568824877104
0.21	0.2	Inf	0	0.034236669791442916
0.21	0.4	Inf	0	0.03682754899195516
0.21	0.8	Inf	0	0.04687126217288743
0.22	0	Inf	0	0.03779996342638507
0.22	0.05	Inf	0	0.033756791567979734
0.22	0.1	Inf	0	0.03212181264688764
0.22	0.2	Inf	0	0.03163369728802495
0.22	0.4	Inf	0	0.04248742999799919
0.22	0.8	Inf	0	0.04646804669878117
0.23	0	Inf	0	0.028257902859969417
0.23	0.05	Inf	0	0.03290469685163379
0.23	0.1	Inf	0	0.027789258375030976
0.23	0.2	Inf	0	0.040317295445564665
0.23	0.4	Inf	0	0.039188248179262045
0.23	0.8	Inf	0	0.045661261606908254
0.24	0	Inf	0	0.03361611904699286
0.24	0.05	Inf	0	0.034002432355502515
0.24	0.1	Inf	0	0.03522233410538925
0.24	0.2	Inf	0	0.03491905055870645
0.24	0.4	Inf	0	0.03457684519185091
0.24	0.8	Inf	0	0.04727126618410073
0.25	0	Inf	0	0.03606317949035614
0.25	0.05	Inf	0	0.029400301195694097
0.25	0.1	Inf	0	0.02833368408043994
0.25	0.2	Inf	0	0.032067723648199584
0.25	0.4	Inf	0	0.0343735918199482
0.25	0.8	Inf	0	0.04528233841042254
0.26	0	Inf	0	0.03059771440933508
0.26	0.05	Inf	0	0.024137081308424943
0.26	0.1	Inf	0	0.028394418837957614
0.26	0.2	Inf	0	0.031116892796738328
0.26	0.4	Inf	0	0.03608321853489513
0.26	0.8	Inf	0	0.04646466661326443
0.27	0	Inf	0	0.02859938607663084
0.27	0.05	Inf	0	0.027269555247052615
0.27	0.1	Inf	0	0.03050514509059126
0.27	0.2	Inf	0	0.030193181584075857
0.27	0.4	Inf	0	0.03732656895426019
0.27	0.8	Inf	0	0.04723010540737545
0.28	0	Inf	0	0.029587013046927232
0.28	0.05	Inf	0	0.03295299554175919
0.28	0.1	Inf	0	0.028328125058858025
0.28	0.2	Inf	0	0.032693801658486586
0.28	0.4	Inf	0	0.03293794269265153
0.28	0.8	Inf	0	0.046266358585665045
0.29	0	Inf	0	0.029643639797089935
0.29	0.05	Inf	0	0.02469746437602202
0.29	0.1	Inf	0	0.03419251539764126
0.29	0.2	Inf	0	0.03292045915671286
0.29	0.4	Inf	0	0.03757190718728054
0.29	0.8	Inf	0	0.047263444226650624
0.3	0	Inf	0	0.026974296673004498
0.3	0.05	Inf	0	0.02863904941287003
0.3	0.1	Inf	0	0.025103460996506895
0.3	0.2	Inf	0	0.029998560130721042
0.3	0.4	Inf	0	0.0311176293617925
0.3	0.8	Inf	0	0.04566656279680485
0.31	0	Inf	0	0.028726213882259093
0.31	0.05	Inf	0	0.028762198160716165
0.31	0.1	Inf	0	0.02329005686159517
0.31	0.2	Inf	0	0.026201165039405738
0.31	0.4	Inf	0	0.039788346870925445
0.31	0.8	Inf	0	0.04610027366552781
0.32	0	Inf	0	0.03030366720834198
0.32	0.05	Inf	0	0.035476109950740714
0.32	0.1	Inf	0	0.02910565990894261
0.32	0.2	Inf	0	0.030083706000422462
0.32	0.4	Inf	0	0.03784892535610735
0.32	0.8	Inf	0	0.04462088690177006
0.33	0	Inf	0	0.0287159693480171
0.33	0.05	Inf	0	0.02950640683228438
0.33	0.1	Inf	0	0.03151670097826202
0.33	0.2	Inf	0	0.02926608745934959
0.33	0.4	Inf	0	0.0358262332370671
0.33	0.8	Inf	0	0.04705397241677023
0.34	0	Inf	0	0.025413973307374733
0.34	0.05	Inf	0	0.026737120672361905
0.34	0.1	Inf	0	0.02344846210583505
0.34	0.2	Inf	0	0.02581222166478554
0.34	0.4	Inf	0	0.03546597116905616
0.34	0.8	Inf	0	0.044161881257894546
0.35	0	Inf	0	0.02400191566036259
