S	M_sigma	Q_alpha	iter_index	motif_index	motif_exon	motif_intron	motif_ratio	motif_mutrate	motif_ratio_max	mutrate_ratio_max
0	0	Inf	1	1	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	2	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	3	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	4	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	5	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	6	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	7	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	8	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	9	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	10	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	11	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	12	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	13	0.049999999999999996	0.049999999999999996	1	-19	NA	1
0	0	Inf	1	14	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	15	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	16	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	17	0.05000000000000001	0.05000000000000001	1	-19	NA	1
0	0	Inf	1	18	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	19	0.05000000000000002	0.05000000000000002	1	-19	NA	1
0	0	Inf	1	20	0.049999999999999926	0.049999999999999926	1	-19	NA	1
0	0.01	Inf	1	1	0.05061654953673063	0.05061654953673063	1	-18.67114154989444	NA	1.0819689205208676
0	0.01	Inf	1	2	0.05054682985699449	0.05054682985699449	1	-18.81998276790229	NA	1.0819689205208676
0	0.01	Inf	1	3	0.04937926685820918	0.04937926685820918	1	-19.266030601963944	NA	1.0819689205208676
0	0.01	Inf	1	4	0.0495931321930417	0.0495931321930417	1	-19.13890034480457	NA	1.0819689205208676
0	0.01	Inf	1	5	0.050165131126667185	0.050165131126667185	1	-19.005094171572352	NA	1.0819689205208676
0	0.01	Inf	1	6	0.050442546339616215	0.050442546339616215	1	-18.902945487172428	NA	1.0819689205208676
0	0.01	Inf	1	7	0.05008733681449361	0.05008733681449361	1	-19.025823204374667	NA	1.0819689205208676
0	0.01	Inf	1	8	0.05076539349561092	0.05076539349561092	1	-18.768674524956257	NA	1.0819689205208676
0	0.01	Inf	1	9	0.05045166717810793	0.05045166717810793	1	-18.834783659651883	NA	1.0819689205208676
0	0.01	Inf	1	10	0.04996883501691183	0.04996883501691183	1	-19.032045662718172	NA	1.0819689205208676
0	0.01	Inf	1	11	0.04976606198944273	0.04976606198944273	1	-19.114840376132033	NA	1.0819689205208676
0	0.01	Inf	1	12	0.04932823095607328	0.04932823095607328	1	-19.205887140248638	NA	1.0819689205208676
0	0.01	Inf	1	13	0.049878289097305274	0.049878289097305274	1	-19.043387664480047	NA	1.0819689205208676
0	0.01	Inf	1	14	0.04859035732456063	0.04859035732456063	1	-19.535463152888383	NA	1.0819689205208676
0	0.01	Inf	1	15	0.04970224432526003	0.04970224432526003	1	-19.097386363257424	NA	1.0819689205208676
0	0.01	Inf	1	16	0.04988794214227658	0.04988794214227658	1	-19.041563293480188	NA	1.0819689205208676
0	0.01	Inf	1	17	0.05002803374475916	0.05002803374475916	1	-19.097164652959666	NA	1.0819689205208676
0	0.01	Inf	1	18	0.050469918064181316	0.050469918064181316	1	-18.869432154639902	NA	1.0819689205208676
0	0.01	Inf	1	19	0.050102390361087254	0.050102390361087254	1	-18.96356404132018	NA	1.0819689205208676
0	0.01	Inf	1	20	0.05022984357867003	0.05022984357867003	1	-18.941822079771082	NA	1.0819689205208676
0	0.02	Inf	1	1	0.05017527298151426	0.05017527298151426	1	-19.019522985949433	NA	1.2435052188767817
0	0.02	Inf	1	2	0.05127384900276116	0.05127384900276116	1	-18.416150759726413	NA	1.2435052188767817
0	0.02	Inf	1	3	0.052036440269290704	0.052036440269290704	1	-18.393004477115376	NA	1.2435052188767817
0	0.02	Inf	1	4	0.047655863634522254	0.047655863634522254	1	-19.87878299473664	NA	1.2435052188767817
0	0.02	Inf	1	5	0.0503577577024864	0.0503577577024864	1	-18.832829253589978	NA	1.2435052188767817
0	0.02	Inf	1	6	0.05115161313631481	0.05115161313631481	1	-18.61017714259144	NA	1.2435052188767817
0	0.02	Inf	1	7	0.05089724084625274	0.05089724084625274	1	-18.688706294901422	NA	1.2435052188767817
0	0.02	Inf	1	8	0.04953055548671712	0.04953055548671712	1	-19.340542334121	NA	1.2435052188767817
0	0.02	Inf	1	9	0.05029851197445645	0.05029851197445645	1	-18.998759588069476	NA	1.2435052188767817
0	0.02	Inf	1	10	0.0497024995887955	0.0497024995887955	1	-19.074775013302126	NA	1.2435052188767817
0	0.02	Inf	1	11	0.049978233065695946	0.049978233065695946	1	-19.06203264178835	NA	1.2435052188767817
0	0.02	Inf	1	12	0.04976350466081877	0.04976350466081877	1	-19.072421142341216	NA	1.2435052188767817
0	0.02	Inf	1	13	0.049058351138890906	0.049058351138890906	1	-19.420672680596603	NA	1.2435052188767817
0	0.02	Inf	1	14	0.0488307593164645	0.0488307593164645	1	-19.501893811067735	NA	1.2435052188767817
0	0.02	Inf	1	15	0.0505615170114195	0.0505615170114195	1	-18.74655153312662	NA	1.2435052188767817
