M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.2	0.1	Inf	0	0.026602279684427427
0.2	0.2	Inf	0	0.03354529640941368
0.2	0.4	Inf	0	0.03360022002244821
0.2	0.8	Inf	0	0.03701503578063318
0.21	0	Inf	0	0.03486218431521203
0.21	0.05	Inf	0	0.035049532690402375
0.21	0.1	Inf	0	0.035458409805419006
0.21	0.2	Inf	0	0.03029583723930364
0.21	0.4	Inf	0	0.02804591498659193
0.21	0.8	Inf	0	0.03435631086443713
0.22	0	Inf	0	0.03779996342638507
0.22	0.05	Inf	0	0.0329018858610313
0.22	0.1	Inf	0	0.030135347385430705
0.22	0.2	Inf	0	0.027042121610031188
0.22	0.4	Inf	0	0.03747904999666532
0.22	0.8	Inf	0	0.03234023349390581
0.23	0	Inf	0	0.028257902859969417
0.23	0.05	Inf	0	0.03200494405435136
0.23	0.1	Inf	0	0.02532139819447886
0.23	0.2	Inf	0	0.03789661930695583
0.23	0.4	Inf	0	0.031980413632103404
0.23	0.8	Inf	0	0.028306308034541258
0.24	0	Inf	0	0.03361611904699286
0.24	0.05	Inf	0	0.03316045511105528
0.24	0.1	Inf	0	0.03358037122821027
0.24	0.2	Inf	0	0.03114881319838306
0.24	0.4	Inf	0	0.024294741986418178
0.24	0.8	Inf	0	0.03635633092050362
0.25	0	Inf	0	0.03606317949035614
0.25	0.05	Inf	0	0.028316106521783263
0.25	0.1	Inf	0	0.025926315644933265
0.25	0.2	Inf	0	0.02758465456024948
0.25	0.4	Inf	0	0.023955986366580334
0.25	0.8	Inf	0	0.026411692052112686
0.26	0	Inf	0	0.03059771440933508
0.26	0.05	Inf	0	0.022775875061499938
0.26	0.1	Inf	0	0.025993798708841793
0.26	0.2	Inf	0	0.026396115995922904
0.26	0.4	Inf	0	0.026805364224825205
0.26	0.8	Inf	0	0.03232333306632212
0.27	0	Inf	0	0.02859938607663084
0.27	0.05	Inf	0	0.02607321604952907
0.27	0.1	Inf	0	0.028339050100656956
0.27	0.2	Inf	0	0.025241476980094817
0.27	0.4	Inf	0	0.028877614923766982
0.27	0.8	Inf	0	0.03615052703687719
0.28	0	Inf	0	0.029587013046927232
0.28	0.05	Inf	0	0.03205578478079915
0.28	0.1	Inf	0	0.025920138954286694
0.28	0.2	Inf	0	0.028367252073108227
0.28	0.4	Inf	0	0.021563237821085886
0.28	0.8	Inf	0	0.0313317929283252
0.29	0	Inf	0	0.029643639797089935
0.29	0.05	Inf	0	0.023365751974760023
0.29	0.1	Inf	0	0.0324361282196014
0.29	0.2	Inf	0	0.02865057394589107
0.29	0.4	Inf	0	0.029286511978800903
0.29	0.8	Inf	0	0.03631722113325309
0.3	0	Inf	0	0.026974296673004498
0.3	0.05	Inf	0	0.027514788855652665
0.3	0.1	Inf	0	0.02233717888500766
0.3	0.2	Inf	0	0.024998200163401298
0.3	0.4	Inf	0	0.01852938226965416
0.3	0.8	Inf	0	0.02833281398402422
0.31	0	Inf	0	0.028726213882259093
0.31	0.05	Inf	0	0.02764441911654333
0.31	0.1	Inf	0	0.02032228540177241
0.31	0.2	Inf	0	0.02025145629925717
0.31	0.4	Inf	0	0.032980578118209064
0.31	0.8	Inf	0	0.03050136832763904
0.32	0	Inf	0	0.03030366720834198
0.32	0.05	Inf	0	0.034711694684990226
0.32	0.1	Inf	0	0.026784066565491788
0.32	0.2	Inf	0	0.025104632500528072
0.32	0.4	Inf	0	0.02974820892684558
0.32	0.8	Inf	0	0.023104434508850278
0.33	0	Inf	0	0.0287159693480171
0.33	0.05	Inf	0	0.028427796665562506
0.33	0.1	Inf	0	0.029463001086957805
0.33	0.2	Inf	0	0.02408260932418698
0.33	0.4	Inf	0	0.02637705539511182
0.33	0.8	Inf	0	0.035269862083851126
0.34	0	Inf	0	0.025413973307374733
0.34	0.05	Inf	0	0.025512758602486217
0.34	0.1	Inf	0	0.02049829122870561
0.34	0.2	Inf	0	0.01976527708098192
0.34	0.4	Inf	0	0.025776618615093592
0.34	0.8	Inf	0	0.0208094062894727
0.35	0	Inf	0	0.02400191566036259
0.35	0.05	Inf	0	0.01926955536923618
0.35	0.1	Inf	0	0.01979563025236756
0.35	0.2	Inf	0	0.025589383525970705
0.35	0.4	Inf	0	0.02932624872317014
0.35	0.8	Inf	0	0.024670364935372054
0.36	0	Inf	0	0.02156711177676914
0.36	0.05	Inf	0	0.02815563624100352
0.36	0.1	Inf	0	0.02400700228483582
0.36	0.2	Inf	0	0.024845755676821367
0.36	0.4	Inf	0	0.02671927669702222
0.36	0.8	Inf	0	0.026339406437581085
0.37	0	Inf	0	0.01464479808289346
0.37	0.05	Inf	0	0.023612433307821774
0.37	0.1	Inf	0	0.032458777236277554
0.37	0.2	Inf	0	0.021947195592811195
0.37	0.4	Inf	0	0.029649445290870415
0.37	0.8	Inf	0	0.02282872668046207
0.38	0	Inf	0	0.022784324474159977
0.38	0.05	Inf	0	0.02742654641058557
0.38	0.1	Inf	0	0.017421882137836246
0.38	0.2	Inf	0	0.023233766926865768
0.38	0.4	Inf	0	0.01780100245101918
0.38	0.8	Inf	0	0.02032752636239318
0.39	0	Inf	0	0.024445281918277093
0.39	0.05	Inf	0	0.03297216943379845
0.39	0.1	Inf	0	0.015118341460698617
0.39	0.2	Inf	0	0.018155009532651558
0.39	0.4	Inf	0	0.027588867571760014
